Country,Target Name
"Bahamas, The",Bahamas
Bolivia,Bolivia (Plurinational State of)
Cote d'Ivoire,C̫te d'Ivoire
"Congo, Dem. Rep.",Congo
Czech Republic,Czechia
"Korea, Dem. People's Rep.",Democratic People's Republic of Korea
"Congo, Dem. Rep.",Democratic Republic of the Congo
"Egypt, Arab Rep.",Egypt
"Gambia, The",Gambia
"Iran, Islamic Rep.",Iran (Islamic Republic of)
Kazakhstan,Kyrgyzstan
Lao PDR,Lao People's Democratic Republic
"Micronesia, Fed. Sts.",Micronesia (Federated States of)
"Korea, Rep.",Republic of Korea
Moldova,Republic of Moldova
St. Kitts and Nevis,Saint Kitts and Nevis
St. Lucia,Saint Lucia
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Slovak Republic,Slovakia
Switzerland,Swaziland
North Macedonia,The former Yugoslav republic of Macedonia
United Kingdom,United Kingdom of Great Britain and Northern Ireland
Tanzania,United Republic of Tanzania
United States,United States of America
"Venezuela, RB",Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
"Yemen, Rep.",Yemen
